Taxonomic rank	region	name	sample_sum	abundance	observation_name	sample	n
Genus	16S	/home/gpascal/work/RPOB/RESULTS97perc/Mock_16S_affi_tables_merged.tsv	5068.0	37.30310613867216	261	16S_Mockstd_rep2	/home/gpascal/work/RPOB/RESULTS97perc/Mock_16S_affi_tables_merged.tsv
Order	16S	/home/gpascal/work/RPOB/RESULTS97perc/Mock_16S_affi_tables_merged.tsv	691.0	5.0861180627116145	38	16S_Mockstd_rep2	/home/gpascal/work/RPOB/RESULTS97perc/Mock_16S_affi_tables_merged.tsv
Species	16S	/home/gpascal/work/RPOB/RESULTS97perc/Mock_16S_affi_tables_merged.tsv	4482.0	32.98984248491094	113	16S_Mockstd_rep2	/home/gpascal/work/RPOB/RESULTS97perc/Mock_16S_affi_tables_merged.tsv
weak affiliation	16S	/home/gpascal/work/RPOB/RESULTS97perc/Mock_16S_affi_tables_merged.tsv	1088.0	8.008243780362138	115	16S_Mockstd_rep2	/home/gpascal/work/RPOB/RESULTS97perc/Mock_16S_affi_tables_merged.tsv
Class	16S	/home/gpascal/work/RPOB/RESULTS97perc/Mock_16S_affi_tables_merged.tsv	2445.0	15.585160632330442	20	16S_Mockstd_rep3	/home/gpascal/work/RPOB/RESULTS97perc/Mock_16S_affi_tables_merged.tsv
Family	16S	/home/gpascal/work/RPOB/RESULTS97perc/Mock_16S_affi_tables_merged.tsv	234.0	1.4915859255481898	25	16S_Mockstd_rep3	/home/gpascal/work/RPOB/RESULTS97perc/Mock_16S_affi_tables_merged.tsv
Genus	16S	/home/gpascal/work/RPOB/RESULTS97perc/Mock_16S_affi_tables_merged.tsv	6375.0	40.63615502294748	261	16S_Mockstd_rep3	/home/gpascal/work/RPOB/RESULTS97perc/Mock_16S_affi_tables_merged.tsv
Order	16S	/home/gpascal/work/RPOB/RESULTS97perc/Mock_16S_affi_tables_merged.tsv	824.0	5.252422233554309	38	16S_Mockstd_rep3	/home/gpascal/work/RPOB/RESULTS97perc/Mock_16S_affi_tables_merged.tsv
Species	16S	/home/gpascal/work/RPOB/RESULTS97perc/Mock_16S_affi_tables_merged.tsv	4716.0	30.06119326874044	113	16S_Mockstd_rep3	/home/gpascal/work/RPOB/RESULTS97perc/Mock_16S_affi_tables_merged.tsv
weak affiliation	16S	/home/gpascal/work/RPOB/RESULTS97perc/Mock_16S_affi_tables_merged.tsv	1094.0	6.973482916879143	115	16S_Mockstd_rep3	/home/gpascal/work/RPOB/RESULTS97perc/Mock_16S_affi_tables_merged.tsv
